Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date	File Size	SHA256
PCSG00158	JP	NextRev: Sharoushi Shiken Update 1.01	1.01	2.01	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00158/PCSG00158_T1/69bfc980a528e394/JP0007-PCSG00158_00-M5NR015SHAROMAIN-A0101-V0101-ebea820dfd754dd37506016945becb794c4d70c1-PE.pkg		1572224	bcef010aabec449286d1af49537cf4c23eff8bd13615479ff549cb47aa08ce57
PCSG00162	JP	Haiyore! Nyaruko-San: Meijoushigatai Game no You na Mono Update 1.10	1.1	2.05	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00162/PCSG00162_T0/51c7ddc6b37b22fa/JP0745-PCSG00162_00-NYARLATHOTEP2865-A0110-V0100-2b03f851f6dbe01666f7b34a9c836cb14e13e851-PE.pkg		51837664	85db581c23a880a3d2243051e9a34d19561f43e3ce12b417ebf7f0cfb2cf47df
PCSG00181	JP	Kami Jigen Idol Neptune PP Update 1.01	1.01	2.11	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00181/PCSG00181_T0/92ed9e2794672d11/JP0031-PCSG00181_00-KAMIJIGENIDOLNEP-A0101-V0100-d19aad7ac4bd0f825fd666c9b465bfa5bf8b39ad-PE.pkg		71198992	010c0e6a5198b3f5578ab98fa2c16295bc08cfd4a348c25bd3248b2a1e231874
PCSG00222	JP	Nihon Pro Mahjong Renmei Kounin: Motto 20-Bai! Mahjong ga Tsuyoku Naru Houhou - Shochuukyuusha Hen Update 1.01	1.01	2.61	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00222/PCSG00222_T3/1f7eb02d23835039/JP0394-PCSG00222_00-PKGMT20SC0000000-A0101-V0100-667ffe13ab92ed1af37ba43d82f6962ae599e927-PE.pkg		1612496	0acc57f557fc765d25568e4f9df10dbe7e2524dc059b2601eca4950235624ba1
PCSG00228	JP	Super Heroine Chronicle: Chou Heroine Senki Update 1.01	1.01	3	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00228/PCSG00228_T0/c6626debd5eca3e3/JP0700-PCSG00228_00-SHCPSVCNT0000000-A0101-V0100-b8bc3b90b634f149d2ffa38fda3855fc2cea1276-PE.pkg		38108512	efe6d688cbe28e5036abaa452fdd5b4aaf17bb3b21c4f0ddc142eef9ec6a7171
PCSG00238	JP	Winning Post 8 Update 1.05	1.05	3.01	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00238/PCSG00238_T7/afe30d4e4eab28cf/JP0106-PCSG00238_00-WP8V000000000100-A0105-V0100-47a04ed946154cdc2ab6bf70e05ad8af76bd474a-PE.pkg		51248400	9c81833fda98a0f433f495ec62a07ce2b302bf9e26a61af4037d2995b6e64fd5
PCSG00288	JP	Pro Yakyuu Spirits 2014 Update 1.10	1.1	3.01	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00288/PCSG00288_T8/8fb1b021fb9e29b8/JP0101-PCSG00288_00-PROBBSPIRITS2014-A0110-V0100-5540562225220238cb246bdc5b394babc5dd027b-PE.pkg		57744272	bb6be447ee65a05bd9f70ca7d0450990172428a7ccde9056b6e2bb95f6be606c
PCSG00331	JP	Lost Dimension Update 1.02	1.02	3.15	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00331/PCSG00331_T4/ddb236a8cda715a8/JP0536-PCSG00331_00-LOSTDIMENSION001-A0102-V0100-78130f9bb39d8827d46bc4947d3b60f56b5f1673-PE.pkg		813359232	41cc138451b2e61a83af8338d9022092c45831306b676a7ab885b1ac9ad7ebb8
PCSG00431	JP	Norn9: Var Commons Update 1.01	1.01	3.3	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00431/PCSG00431_T0/b0bcc2d6cfd67f96/JP0031-PCSG00431_00-IFNORNVARCOMMONS-A0101-V0100-1a6064127a9a5a23f62edf82acf98372dd5e72d5-PE.pkg		43916544	a847566b573e2cd0fe33568dbd7e6e0d4489716c491bc8052ad4c9efcde01879
PCSG00433	JP	Zettai Zetsubou Shoujo: Dangan-Ronpa - Another Episode Update 1.03	1.03	3.15	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00433/PCSG00433_T2/c918be856a970af2/JP0365-PCSG00433_00-ZETTAIZETSUBOU00-A0103-V0100-39c210c1c4bb01524f9e311ab326c92145109d7e-PE.pkg		29682320	6b5058d4484eb51e6a4e358ca566ebf1c68f8edcd5e974b88128781afade3745
PCSG00445	JP	Tsurugi no Machi no Ihoujin: Kuro no Kyuuden Update 1.01	1.01	3.3	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00445/PCSG00445_T0/f601a9e770d20247/JP0091-PCSG00445_00-SOABLACKPALACE01-A0101-V0101-146222dad24b9de4bde98b2db84b5a24a59d874a-PE.pkg		35549440	de91dd47fd780b4c1c75e0892ab9c1efa06d9601a9626d0fe82836e32d33ef63
PCSG00535	JP	Gakuen Heaven: Boy's Love Scramble! Update 1.02	1.02	3.35	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00535/PCSG00535_T2/8aa3bc0dc3815c1b/JP0548-PCSG00535_00-0000000000000000-A0102-V0100-04912070b954f01e20b74f8281607d6a1e730e38-PE.pkg		4146928	7e6c3a5c50238ff967986767a1e526f639113dded388d8b5efb8e55e0330728c
PCSG00545	JP	Winning Post 8 2015 Update 1.06	1.06	3.36	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00545/PCSG00545_T5/e978ae2ddffe01d6/JP0106-PCSG00545_00-WP82015V00000100-A0106-V0100-3a29cf963df3037bbac59ed4532b5e94709692bd-PE.pkg		8812784	b450b19b19da748142dd7f42c9fc1dd2cd4a50972e4dee71e8cccc511a804606
PCSG00585	JP	Gakuen Heaven 2: Double Scramble Update 1.01	1.01	3.36	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00585/PCSG00585_T0/368d706ee2860406/JP0548-PCSG00585_00-0000000000000000-A0101-V0100-2186c5cae64c8bc7425ebe5e1447f8bf89c0443a-PE.pkg		10290224	02212ad94dccd18d70296bf63f40b7a6aa1a65c7091217eec84f900f61a58d56
