Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPUH90095	US	NARUTO SHIPPUDEN™: Kizuna Drive Demo	http://ares.dl.playstation.net/cdn/UP0700/NPUH90095_00/yVJFKbcABmOVcZRmWnRCJdqTdQVVvNnpxFmbAinYyHThsVYGSNfwygYHcKUpgSxTBZXliCrBTAWEhqkmLivWElnjTavNXpocBPDJq.pkg	UP0700-NPUH90095_00-KIZUNADRIVETRIAL	2026-07-02 23:09:00			38109632	
NPUG70014	US	Hot Shots Golf: OT2 Intermediate Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70014_00/MBoCuuVOJdIf5EQRNWx8UxdkRr26vBrHKcL1mdT23jUnoySnvNJowI0PnJDV6Hk5OlC20Vw1iDMlalCeUEP8fIQWyhpBkiY5vCdfg.pkg	UP9000-NPUG70014_00-HSGOT2INTERMED08	2026-07-02 22:52:30			18287776	
NPUG70014	US	Hot Shots Golf: OT2 Beginner Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70014_00/wSMOwrcD7kHsRvB2wtRLcYg69yA9Qx89VuJJjPXsqg5BTJoiimDoyNfuRIl0pdRfFBfGFCGfDBpOrChscnU5OWJklTX0kdv9v5TWc.pkg	UP9000-NPUG70014_00-HSGOT2BEGINNER08	2026-07-02 22:51:53			18297200	
NPUG98734	US	Patapon™ 2 Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG98734_00/XndX1v5Wd7vYUlXdV3Lwo70J5xSMf0EB0SnqS3chjxGrJO8U0rwn9rRDU0vmNdbY9FsR2U5pPKfDnbeWYkBms3GRj7A1FjPjSBwth.pkg	UP9000-NPUG98734_00-PATAPON2DEMOGS09	2026-07-02 23:11:31			104533344	
NPUG70011	US	Secret Agent Clank Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70011_00/2ADMXgmhGeJ05nT2mrYoxBJ9IjOOawqq6rIjrKU0wjgH8sFBDBKXoc9PJtp4IPAmFpM6ItraBGeWNsJaA3uEVrRiGxMlU7jiPgtK3.pkg	UP9000-NPUG70011_00-SECRETAGENTCLANK	2026-07-02 23:20:31			142423312	
NPUG98731	US	LocoRoco 2 Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG98731_00/2yVP1c6sq5Yrhe9mV7GbQtq0NVp4bA9a9R0Q2vCDuEHYYFWjeE6VKE06TfNEdn71fk4V6MC7KcG5Fx31wysF4024tlgdNAj5pqxR7.pkg	UP9000-NPUG98731_00-LOCOROCO2DEMO000	2026-07-02 23:05:49			71779888	
NPUG70057	US	PixelJunk Monsters Deluxe Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70057_00/avDJAL3YT7jcoXYJ3legEyTiwJhF1DyqV80ECmGfM1VytMXmbP96kR0hQfgR7YaG71AlhRAryLgikeuYQa5FKmaKvP7fvjWsrs7rE.pkg	UP9000-NPUG70057_00-PJMONSTERSDEMO01	2026-07-02 23:16:08			13123440	
NPUH90019	US	LEGO® Batman: The Videogame Demo	http://zeus.dl.playstation.net/cdn/UP1018/NPUH90019_00/U587PRaFjmLqOGeRufp3cq1wkFNxC9Hyb2sdchsRkm7wMfxXmTy1bQg26QmvaPLVdetuGxXt3f6y4kwegmdmSam8awmqCCCwLW9vI.pkg	UP1018-NPUH90019_00-LEGOBATMANDEMO01	2026-07-02 22:59:40			61782768	
NPUH90036	US	Undead Knights™ Demo	http://zeus.dl.playstation.net/cdn/UP0325/NPUH90036_00/17hfuoyucmVRMCIVmMAGg22Ck8R0Jtqb3Cfonk9Mx1GbAqW9kd7O3XcnGnBeTPRD8bHYKBlCqmPU30MBTe1e3dPQw4Qs9vjLJQGFS.pkg	UP0325-NPUH90036_00-UKPLAYABLEDEMO01	2026-07-02 23:23:58			100488656	
NPUG70093	US	Patchwork Heroes Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70093_00/DVoQ7r6iA3Y9erwfSSdsEd0FP04MEf4VPYyQgmIqcKR9ScCIs96kMmWXeWGtGyhAudglVhRGyBrLFV24esyk9pvXVQyqATD4LtqC4.pkg	UP9000-NPUG70093_00-PWHPSPADEMO00001	2026-07-02 23:12:40			28236160	
NPUG70013	US	BUZZ! Master Quiz Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70013_00/IbM4F032ceGfuJ2GEN8g5QKUuWP7D6bCd9oF0ClO2mbfivDI3K2m3mGpqPhRHfe4L37cgloYIkBgjVUtjiqmCQuJf082fU2nkDpJd.pkg	UP9000-NPUG70013_00-MASTERQUIZDEM001	2026-07-02 18:08:23			159574416	
NPUG70053	US	Hot Shots Tennis: Get a Grip Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70053_00/gExpQVi6do1sQ4N6vL1ioPYsBN1Im5brlsnwEaGPnmKFQA1jy9jedb1U1QCIMMJgvrXC1pMcVSJeEjYw129Ags8sAi0QOYAk3ndmN.pkg	UP9000-NPUG70053_00-0000111122223333	2026-07-02 22:54:19			56075376	
NPUH90077	US	Gladiator Begins Demo	http://zeus.dl.playstation.net/cdn/UP1024/NPUH90077_00/eux06Qb0EPxelBUr8oiUa6xwiiqVodORMk9FWMGKOFkWskRK6oEKaNO0n2QwrS0t0wwXuUIcXrpHSONBP5C7K6M02DYpn9HQKceFo.pkg	UP1024-NPUH90077_00-GBPSPGAMEDM00100	2026-07-02 22:18:21			137558720	
NPUH90093	US	Split-Second PSP Demo	http://zeus.dl.playstation.net/cdn/UP1082/NPUH90093_00/bTjSrCauYMV1pXGk3NOR6mhntsWN50FIS6GsbRXI1dpXHdgQA455hy7QKDjmG4CKmT3AG4wbmtSpsOtulMpQukvwWxTFcNtPHR0ff.pkg	UP1082-NPUH90093_00-SSPSPNETWORKDEMO	2026-07-02 23:22:18			139725920	
NPUH90090	US	TNT Racers PSP Demo	http://zeus.dl.playstation.net/cdn/UP4165/NPUH90090_00/ldSTeIQkQfYSiqWaCTdsXwLpkFFlJYiYyUZkWwaBoGZUDNAmEVFaXPUSfoQKJYGQAtSqBLVIZMhcvZyFAanLhndVpOletjeunLkCG.pkg	UP4165-NPUH90090_00-TNTRACERS0000001	2026-07-02 23:23:16			46834768	
NPUB90491	US	Split-Second Demo 2	http://ares.dl.playstation.net/cdn/UP1082/NPUB90491_00/o9f6YhTfUhA2SdpCI1GmVqgXGCfJY5XxoJ0GyPUwTitli9GsbPURfI5iwlEokypFhATao06tHA9Tbccac8fNWhIr28huwqsWn6KCs.pkg	UP1082-NPUB90491_00-SPLITSECONDDEM21	2020-05-08 18:25:51			1080863632	
NPUG70193	US	Cars 2: The Video Game PSP Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70193_00/YXgQGMrWjfrvhxqKZBApFbOjxTVPZvZdlGyANKMqeMMUxBnLKaCsIdVBKVNKsIqRihBOfFWyPWwuLYkvetAQzzVsSVQanbFSqSwKp.pkg	UP9000-NPUG70193_00-DPCCARS2XX000001	2026-07-02 22:05:41			231183424	
NPEH90050	EU	Gladiator Begins (DEMO)	http://zeus.dl.playstation.net/cdn/EP4293/NPEH90050_00/HujKtXxPWQtUoedNwaKWmFrFfhCkxYxUyEWCPPvyWhqgjvNcbCeDFORanBgTPKEs.pkg	EP4293-NPEH90050_00-GBPSPGAMEDM00100	2021-04-20 15:19:20	ee421d5857e09d50a854410892e57697		137560784	
NPJG90100	JP	パタポン３ (DEMO)	http://ares.dl.playstation.net/cdn/JP9000/NPJG90100_00/zTUwgbaaxuwFQGwGsuwDoHfwLZTuRYrsXulsOCwhaWJGIeasbDaujWovZawZfuQgqqPSgHYBwLxNFKZZdYOSolVxeVLOCCwPmahNE.pkg	JP9000-NPJG90100_00-0000000000000001	2019-10-30 12:35:37			185198720	
NPJH90076	JP	戦場のヴァルキュリア２ ガリア王立士官学校 (DEMO)	http://ares.dl.playstation.net/cdn/JP0177/NPJH90076_00/cQwYFpAWyyUTrQgPqGpRfqWo8o1OjgdcGrY6M3hfMBlXbHTqYXXB4OYH9Pew65C3FklbrLjjdbtoU7HMtKa1ORPJ8rNrU8EvD7AE7.pkg	JP0177-NPJH90076_00-VALKYRIA2TRIALJP	2021-04-20 15:19:20			85529536	
NPJH90164	JP	DANGANRONPA (DEMO)	http://ares.dl.playstation.net/cdn/JP0604/NPJH90164_00/nXqnqm5PKphh6RojTASLwABJCDEOpEM6PLsRFMIFOeyc1fiLV1WGYe1R9NExqvwBknHiEqIjnGRySWflU1fx444y57F3dJoT41q4g.pkg	JP0604-NPJH90164_00-DANGAN100905TRIA	2021-04-20 15:19:20			98924640	
