Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date
CUSA00011	US	Contrast	1.03		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00011_00/12/f_266a51a482eddbfaba45ebd81f7dbbecbb8aa10ce963b779e5f6cb9ee3c89e18/f/UP2092-CUSA00011_00-CONTRASTUS000001-A0103-V0100.json	2018-01-21 15:10:10
CUSA00013	EU	F1™ 2015	1.08		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00013_00/30/f_26c2578c792fbd469aec08b54dd0d105a33a65fd639fd9fcbede88609c8d6658/f/EP4001-CUSA00013_00-F12015EMASTER000-A0108-V0100.json	2018-05-23 20:21:22
CUSA00014	JP	KNACK	1.10		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00014_00/14/f_efd0bc23041119f946998ccdefd9c323d782d0ae916fd36297514705fc658bae/f/JP9000-CUSA00014_00-KNACK00000000000-A0110-V0100.json	2018-05-23 20:21:22
CUSA00016	EU	Watch_Dogs: Digital Deluxe Edition	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00016_00/3/f_5f65e023009a986e4248b4bdac274f1ae5438ed47e5623c55c834307536725e0/f/EP0001-CUSA00016_00-WATCHDOGS0000000-A0101-V0101.json	2018-01-21 15:14:22
CUSA00016	EU	WATCH_DOGS™	1.04		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00016_00/9/f_87498ccdc8b7d5f73bb235cd20470643c92cdee757a6669a72b17fe6ec0b19e5/f/EP0001-CUSA00016_00-WATCHDOGS0000000-A0104-V0100.json	2018-05-23 20:21:22
CUSA00018	US	Call Of Duty: Ghosts	1.13		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00018_00/16/f_3d43ce228d08d92bf326fdee56ffff684d721870d2b8fdccc63b4e9e7d9811aa/f/UP0002-CUSA00018_00-CALLDUTYGHOSTSDL-A0113-V0100.json	2018-01-21 15:10:04
CUSA00018	US	Call of Duty® Ghosts	1.20		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00018_00/22/f_1e30578cce5168141cf3db1f0795e520be108bddd54891a7acf1438e3b26ad93/f/UP0002-CUSA00018_00-CALLDUTYGHOSTSDL-A0120-V0100.json	2018-05-23 20:21:22
CUSA00019	US	Skylanders SWAP Force	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00019_00/2/f_e2ea863fff6fcfbae3e7de1605bf6fc1c5bbb3bd30c8c82d9ab7054fd21a3392/f/UP0002-CUSA00019_00-SKYLANDERFORCEDL-A0101-V0100.json	2018-05-23 20:21:22
CUSA00020	US	F1™ 2015	1.08		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00020_00/31/f_cb70140783edea51e025878a4229eb22610ec7087ea14e0ba55de0f3245d8199/f/UP4001-CUSA00020_00-F12015AMASTER000-A0108-V0100.json	2018-05-23 20:21:22
CUSA00021	US	WATCH_DOGS™	1.05		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00021_00/10/f_9f95f4fa9abbeeb8ef6127a7212b61879422b31f8cf5262497cf1ab578c1b965/f/UP0001-CUSA00021_00-WATCHDOGS0000000-A0105-V0100.json	2018-05-23 20:21:22
CUSA00022	JP	WATCH_DOGS™	1.03		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00022_00/5/f_c30256958383f3bb22db159366fdb6e168cec19239a6fdb2052232c27c99eb3e/f/JP0001-CUSA00022_00-WATCHDOGS0000000-A0103-V0100.json	2018-05-23 20:21:22
CUSA00024	EU	Skylanders SWAP Force	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00024_00/2/f_ce9d3d85b85a72e509da6dcfc0fb49324b01ba5baf387b2464714fdfdd0087c2/f/EP0002-CUSA00024_00-SKYLANDERFORCEDL-A0101-V0100.json	2018-05-23 20:21:22
