Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	Original Name	File Size	SHA256
NPEF00080	EU	A Bug’s Life (German only) 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00080_00/lSE651JSxoR47YLIemCj89JxGl7iNNQOFfSGnOJtCBhqMsBWBJNWxDhAwyJyQ9Ba735uRDiQHC8O2h11gv3xEuUf5cWAVMtSF7rMg.pkg	EP1006-NPEF00080_00-GABUGSLIFE000GER			480194688	fd558fffbbff7ced3c4faa1f0308f860092bc6cb8ec7d5942581edb0feb0d4ea
NPEF00080	EU	A Bug’s Life (Italian Only) 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00080_00/6ss6E8hmkMWO9qJsVnOXdLtQ8RKASqBhCSIk7LQnnePtTMumaRJVeICE5QaEcAMDxNFnvOJbjLBHaxksWa84oPDJC82AD7o7SEYVU.pkg	EP1006-NPEF00080_00-GABUGSLIFE000ITA			479461216	1a13592e710839bcc53958c01aca4072048fbf6b619ead56c2121108253b0a2e
NPEF00082	EU	Disney’s Party Time with Winnie the Pooh 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00082_00/v67ppyN1qyeyfWcU8ghxMbHSmFL6wlwhUGMSTW7Gs1IkHuF4F9tvM0hE4GkoutnTD2FawjQ1AFNVkH55Y7QyPSr8TO6aUSDQc8i8n.pkg	EP1006-NPEF00082_00-GPOOHSPART000ENG			254987552	19b55324f4d9126e3b8b5fba3747b7c3b2183ad8c4ec7f8d6d0754496f3aa02f
NPEF00082	EU	Disney’s Party Time with Winnie the Pooh (German only) 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00082_00/A2vnpGSYqw57HACIDlYFcThIFuevJ8GUyeFuTwvy469pbum2v20sqy1JaSvT9LJOs669e2Q2r0bkesYry66PMV0LfLPghTYahyS4i.pkg	EP1006-NPEF00082_00-GPOOHSPART000GER			252958160	e35ded338c4823da15a72fcc2f27a5e0f170319abaca72c3835641732c28b7b1
NPEF00083	EU	Vagrant Story (UK Store) 	http://zeus.dl.playstation.net/cdn/EP0082/NPEF00083_00/iCIRno4x2a2MnIo47tLcc5Tn9h90qgqOh1jlmlOi9841l9f4s9bxG8T6A3uoqS94or6i0H9pSsiDl8xxTxMWbgdG2b8ikO9hJtVAe.pkg	EP0082-NPEF00083_00-GVAGRANTST000ENG			97203136	3eb57e45718c621ef8c7ea3e466e12cfef93b07e8558cd3b2ee3a2c336195c12
NPEF00083	EU	Vagrant Story (German) 	http://zeus.dl.playstation.net/cdn/EP0082/NPEF00083_00/uFcsXTPuGpvORM0TBl1fllR37rpro2ivqGcVEss9IGERQSfcTybcWGPY6nppu6GAs8Ca5PppxxSHvxlpqYmLrahYTgNgwGsMnUCPF.pkg	EP0082-NPEF00083_00-GVAGRANTST000GER			97347216	ec73e5254983741c67827219aaec758ef8bb92f07ac69d9cea3844965927f7b3
NPEF00084	EU	Disney’s Lilo and Stitch: Troubles in Paradise 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00084_00/OxVDgnLlruKVsJw3F1Ln6PmMURmFpxdMPB7Ap5X6Y2jefIxAe6djroir7AFwApKE0pTtw1iCelpCxriKtHeUsHcq8nwpIfDeCM6Rs.pkg	EP1006-NPEF00084_00-GLILOSTITC000ENG			242711472	5ac6433f5577255abab0406fb53218c347b40dd51b376d0cfb4faca76042a9b8
NPEF00085	EU	Peter Pan: Adventures in Neverland 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00085_00/8jAVJ67fsnk1f2Wx3qExqPR2kTQYVk68xEFyU2TJAqfCr6qPsSESxulfdW8A0XFb9MWJRxisgOBkeFeu648KwEG2isDOLGNUDbOvG.pkg	EP1006-NPEF00085_00-GPETERPANX000ENG			352891024	682684b8c8f2512f9b0b79f402f0cb118bcbd90b38fc75f47d5129bb419a079e
NPEF00087	EU	Front Mission 3 	http://zeus.dl.playstation.net/cdn/EP0082/NPEF00087_00/6worFahLKvJaTseCIuG0OLnEkA6Qk2FXdKyC486wtEVj9jvEEF58b5rEjjEYX7Jr4NK5f8hl3h8a5mXCiFjUsBoaKEXsllVEjNLYA.pkg	EP0082-NPEF00087_00-GFRONTMISS000ENG			332603792	6f1f161ed8efaf022b0fe8ed9cca28bf4ce70eba8d4d5e9964d32ad2c7d55677
NPEF00088	EU	Atlantis: The Lost Empire 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00088_00/h6B7LJC77gdtTL7Sem3hKKisRwkBjO0nj1VxR9NTb6Mm8C6LPURP62SOGS0tmojy6DFDlIuId0YDoefTD8B5qcNp7FX7kWhfCdwF5.pkg	EP1006-NPEF00088_00-GATLANTISX000ENG			208438512	48c1cf385e40651950b1ead3da80678f0bddac6d082713ce2564879d13132a4b
NPEF00088	EU	Atlantis: The Lost Empire (German only) 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00088_00/hFiwAPQyhKWDg7TuxUC0byx0pFmCEliI3rE7dvatoBm2isU9LK7cy24FJx2hd6IlCk6aySmIo3yQy9jJdOJLV84W403slfG0tPv8v.pkg	EP1006-NPEF00088_00-GATLANTISX000GER			207958096	43e82d3f49230cd86aaf7983a7d1e262d80f9b43309d336d6b570f0e7c042285
NPEF00093	EU	Toy Story 2: Buzz Lightyear to the Rescue 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00093_00/3O6ByiQb30oNvvYN4PoMgLFDTG9uFaVpgecyDhMjB13s5NOXYlHmCSEkT5cnAjGduSj2VPFtrGu2xnfWsFKnhDVbuFt6mXrInMKA5.pkg	EP1006-NPEF00093_00-GTOYSTORY2000ENG			420750064	787ef6c93e2b3cee9e70a083f44e98c641ab0fb21e7ff0a8fda8f4abd102e1a0
NPEF00093	EU	Toy Story 2: Buzz Lightyear to the Rescue! (German only) 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00093_00/g1mC74KRgG6O2m0uvI1E6vCkpgmOfJkTks3RQ8rBqr69uusilPGYTGy6uMAH1PHGYuoi51BhVpkOPGDRheF2JoE1veqaNdIaa6DOy.pkg	EP1006-NPEF00093_00-GTOYSTORY2000GER			420854768	248396e1c6077363b8271df864a6f2c7f4a5077e70c7de144406890170255ee6
NPEF00094	EU	Toy Story Racer 	http://zeus.dl.playstation.net/cdn/EP1006/NPEF00094_00/8n9tCtLFjMTlnFHGA0JUJfVKvSCO9DhbWLWtctrkDYyWwqg3m7EpTbq2swNmw9fK.pkg	EP1006-NPEF00094_00-GTOYSTORYR000ENG			141610432	80dc0b01bd92446d24d78304daaeff26e568fe4edd030ae550835463d27a5cbb
NPEF00097	EU	Oddworld: Abe’s Exoddus 	http://zeus.dl.playstation.net/cdn/EP4134/NPEF00097_00/BSFUBQ7jnM3RL9jPo3s2Ri0xdHvjwWf0CeFgimiXFOWF0ANjRM9OXnaRfWqyShsNifFlBAmGD9KUb10dJQnHC2onAfntYkPCUax43.pkg	EP4134-NPEF00097_00-GABESODDWO000ENG			767330320	d9cef55ed05e0a67254a184fea5613abe1e8c7a1f6157d0fb2951b835ff346cf
NPEF00098	EU	Oddworld: Abe’s Oddysee 	http://zeus.dl.playstation.net/cdn/EP4134/NPEF00098_00/unrARfWUdJ9HWeTgQuX2liusDXY1bvUkONjPH4H1xBubqDGiFMG5EmThVAMnGJTtJNtn3f6c8ww4rYvEjyA1qXIhIA3c6Y4PqapRT.pkg	EP4134-NPEF00098_00-GABESODDWO000ENG			487550768	5a962c360acc8734e3018d723d5a572905ce9de60e272346ee3bbc6686d5a5f5
NPEF00098	EU	Oddworld: Abe’s Oddysee (German Only) 	http://zeus.dl.playstation.net/cdn/EP4134/NPEF00098_00/P6ckiwFnmRIVX7ow9tKASKoBaJVDST67Alic2YeHvw5HeCwilQgsj1UdBxMNkehirAa8PSWFjPENE0ByyBg6tKle8Wa32TYB0RcOW.pkg	EP4134-NPEF00098_00-GABESODDWO000GER			487772272	6199f3578e40b75cc8e92a88ff44b33c49ff79f7b4121ba3c4baf25524d1f335
NPEF00098	EU	Oddworld: Abe’s Oddysee (Italian Only) 	http://zeus.dl.playstation.net/cdn/EP4134/NPEF00098_00/U3XR9wnjyQSjXtAB551jpcAewyGwVWdr5XWElTqrDRItqhQ8itfoP6IskT5QBUyfSlgQYPJXvo7qXjrbbtWTlUYRvXJOv9i9NLgmT.pkg	EP4134-NPEF00098_00-GABESODDWO000ITA			487744320	6f83bebb9148e723dd400f3075eefc7accb675d8536f3200bd9bf52b7f30f5b7
NPEF00108	EU	Rayman 2: The Great Escape  (Multi3: EN/ES/IT)	http://zeus.dl.playstation.net/cdn/EP0001/NPEF00108_00/6tiAFdwcd8DwbG5Ykx4529A1844NIWsEVul1mhrPM1Nln1wlue5wlJbmujOMH6KWbflTLE2oQE0CitanWL61yAvfO3jwkWth80Pgg.pkg	EP0001-NPEF00108_00-GRAYMAN2TH000ENG			395093376	038495aed4035b42e4f5ab68b17a0a4b8f956f46e78091a22c9d0f27d21bd34f
NPEF00108	EU	Rayman 2: The Great Escape  (Multi2: FR/DE)	http://zeus.dl.playstation.net/cdn/EP0001/NPEF00108_00/4KetxIO7cG5EqfxwSK9EV6DusfiJ2vO0GiX1SGYI8C7IVrtXBUa4j9QR7TLXl4AV3rruKHai2xu3evLn2G4uLtx61xOM3qM7j380u.pkg	EP0001-NPEF00108_00-GRAYMAN2TH000GER			377369664	6fe552a4e4b2ff6fc751b896425786a1e02eecc556fbeffb25035a908633211c
NPEF00109	EU	Tekken 2 	http://zeus.dl.playstation.net/cdn/EP0700/NPEF00109_00/Auqs8KRp3A3cS8724Xy1WSFpK2HWUUx3EqAiqHUfgsO8E7InsNgK241MmpQE36DG.pkg	EP0700-NPEF00109_00-GTEKKEN2XX000ENG			508555344	43a18714867febc900b717c33c385459167828e054337f0d303c511f01569899
NPEF00109	EU	Tekken 2 (German store) 	http://zeus.dl.playstation.net/cdn/EP0700/NPEF00109_00/5BxOgQSOuNHKUdyiVDEBGvEWNRyxwiYld01Aa6Awrbj1WxKcQFr7EwEePDKQ5Km5.pkg	EP0700-NPEF00109_00-GTEKKEN2XX000GER			508617264	61d3d74c3c307ecdd5609806edaa8d318315a0ec3f18d3000b87825a849bb297
NPEF00110	EU	Blood Omen: Legacy of Kain (ENG)	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00110_00/BLeMvKREseiAvFQwSvIDnjVDjOIOBVEPNRrLYqdftJZlqPjqxdHKYrKvxCgXCiGR.pkg	EP0776-NPEF00110_00-GBLOODOMEN000ENG		Blood Omen: Legacy of Kain	473110128	b339960db8e1e70b372512a59a19f286cdf0a1a69b851ee21e49aa9823df278c
NPEF00110	EU	Blood Omen: Legacy of Kain (German only) 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00110_00/soDKgNcfuNPqOLbbmZheTZvWcUetujlgFaHagpaztUCsFAYMBGWLWgJrSqBsgQgS.pkg	EP0776-NPEF00110_00-GBLOODOMEN000GER			474707552	4f412f12d1678556878b2ebce5a390eb3ab9ddd0d0bfefd2e07f7cd2fcd30a36
NPEF00112	EU	Fear Effect 2 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00112_00/yDXjpZhSxnHzlTcVQkQpeDRsRdGXysvGhroMAOBocDAutNSGClrCoagcegScMxbM.pkg	EP0776-NPEF00112_00-GFEAREFFEC000ENG			2030958128	f798fce24e12c8ded2cdd52cfd72de4b194d2a6fe5ec8dda116fd1d7225b7f96
NPEF00113	EU	Fighting Force 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00113_00/eiDNKFevdPJqWnSJdtFgBHldTXLjGfCjvSImYjfOxaDxzXTSpYZDyScngIeaRISe.pkg	EP0776-NPEF00113_00-GFIGHTINGF000ENG			85241824	36960f6bf085e13229a72f8d97541f2b7fd4e7d3f479a1c05a8045a6dc22c353
NPEF00114	EU	Fighting Force 2 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00114_00/gkpBANBflQuLodthytcFrwwmZMylMxUpkHeHZHkFryejkTuKkWmwnKZppXkjbCPm.pkg	EP0776-NPEF00114_00-GFIGHTINGF000ENG			240168224	2aaef857ff71e716bda5305543297cda47c3088b4c2389d28cee84463195a34a
NPEF00114	EU	Fighting Force 2 (German only) 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00114_00/pdrRtiwyarssQEvdxnBesrvjVzXFOAHDcZPQyUeeVTVHzgewyoJWiiObRbgXgmso.pkg	EP0776-NPEF00114_00-GFIGHTINGF000GER			188333680	4eb2a46349bb770b7776e2b1667ed48185aea7ab58381c62b068b9ccb5a60a1d
