Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	File Size	SHA256
PCSD00087	ASIA	市民包H	http://zeus.dl.playstation.net/cdn/HP9000/PCSD00087_00/kUJGWsMoqIsCcoOtAKSVLeGqEiIhQJmJMnyzOXJIVYiAxDCzvAqsndLWcEOcVZXyaCtzPQajRdwrhGCgOExWKyviluIkxRQfAfnPx.pkg	MISSING	HP9000-PCSD00087_00-A000100ITM017PCH		102400	
PCSB00396	EU	Goku (Naruto Sage Mode Costume)	http://zeus.dl.playstation.net/cdn/EP0700/PCSB00396_00/gvLAsXJKMqBSoWVAmXNjzCWJUyVKoTlGURTswfJsIpOoSvlefqRsFrWmMtSlvxWR.pkg	MISSING	EP0700-PCSB00396_00-DLCPACKAGE000000		102400	
PCSB00144	EU	TK Boost Gem Pack 16	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/hgAJWNDPoOlqcHqQeWnbYRkQXZWKIyEKUUHrvmIwYsUoOEBdMRjWsbkIRluggwSo.pkg	MISSING	EP0102-PCSB00144_00-00252GEMBSTTK016		102400	
PCSB00144	EU	Elena (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/oxskUWjjAjWFonvQFoEVwtsNeavwmMedEMGOwvJXXUAzTYkvlEvvOvFugsqajUoo.pkg	MISSING	EP0102-PCSB00144_00-00023COSSWPSF024		102400	
PCSB00144	EU	Sagat (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/qtLxhIilCSYHlytJulIpCROuYCZoEMECaVfYeZoJdEGHvJAdrCVnZvGUWWFtgWhO.pkg	MISSING	EP0102-PCSB00144_00-00007COSSWPSF007		102400	
PCSB00144	EU	Guy (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/kTebWzjkmcXMdFspmuuYHlzdgYudNFyzLXvFlDrIqnaShLjwQgspFuWFAEbBNbBt.pkg	MISSING	EP0102-PCSB00144_00-00021COSSWPSF022		102400	
PCSB00144	EU	King (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/hIXCOVvZgoaSuPineyhxCBhrwfOTZjAjWDCjbaljMPVPqheevBoTZVOKCuLGOyVI.pkg	MISSING	EP0102-PCSB00144_00-00033COSSWPTK034		102400	
PCSB00144	EU	Cody (Alternate)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/TNVFewxEErIcFXvwuohPxDBWWFIUHlRdqAbmAiExFMVkYhaLrlsFQGVTBjwQmeXb.pkg	MISSING	EP0102-PCSB00144_00-00072COSARGSF023		102400	
PCSB00144	EU	Cody (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/BTHPiokHByhfwGSvzLMSrxsBQXCzuKQCXRaXXRITYGDCFwxbfyTvtYwFAQJfhOdM.pkg	MISSING	EP0102-PCSB00144_00-00022COSSWPSF023		102400	
PCSB00144	EU	Julia (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/PsJWiieZMGQqmcQJIwfokHQjCqAMCjvQdXdfuntOsokdmMwbyrGBNQvYVNBtIrdU.pkg	MISSING	EP0102-PCSB00144_00-00038COSSWPTK039		102400	
PCSB00144	EU	Xiaoyu (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/IygedGvgrZoXVpXOELtGxGjcReKRVXgYpqfozkCmxuZLuNPKjOQzqpQMWWUnxjAV.pkg	MISSING	EP0102-PCSB00144_00-00042COSSWPTK043		102400	
PCSB00144	EU	Ibuki (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/SskEopzCrLQHKMoPiBGFLGQSDBsNUSTGjMoXfbewrEKRhFDcWPSyXKnXQlLQogEQ.pkg	MISSING	EP0102-PCSB00144_00-00009COSSWPSF009		102400	
PCSB00144	EU	Steve (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/uExaEDuHHONSmJWQdDIkmptSPdiQfukkDrIVypGFmDkWTsfhJOLnXmygZBpxKYQY.pkg	MISSING	EP0102-PCSB00144_00-00036COSSWPTK037		102400	
PCSB00144	EU	Lili (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/tbPjQAYCgujcVVBlGuouPjhDGgFtnfMOArrVsuegZJcHfOGKxwCdnUkTVgAonuGA.pkg	MISSING	EP0102-PCSB00144_00-00028COSSWPTK029		102400	
PCSB00144	EU	Kazuya (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/jzOmFjuxzSwbraxsuWtHkVVeCZFrIkcZZwAzQQsFfRLuwStfLjyCzrEzvInTepPp.pkg	MISSING	EP0102-PCSB00144_00-00025COSSWPTK026		102400	
PCSB00144	EU	Lars (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/POqRhcMdqQtFTBhOESwyHgumcxSwbxIqESpCwMFTSYlVgSPTmaCPePxvOFWchRhF.pkg	MISSING	EP0102-PCSB00144_00-00044COSSWPTK046		102400	
PCSB00144	EU	Hwoarang (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/hlEZVoZuTOLURzSfUFsQyyouAwkqCOqvYAghFKciyoqKzZMeuFhIIRRFkHAcZBsl.pkg	MISSING	EP0102-PCSB00144_00-00035COSSWPTK036		102400	
PCSB00144	EU	Asuka (Swap Costume)	http://zeus.dl.playstation.net/cdn/EP0102/PCSB00144_00/bGXKKvopUlmcqLsxUZEtePalqkuZmcyftvFlzZGZvhnvZaWGrDOWFwHlEqsqnJfS.pkg	MISSING	EP0102-PCSB00144_00-00027COSSWPTK028		102400	
PCSA00017	UNKNOWN	UNKNOWN TITLE	MISSING	35bfb0e2d22f988f62ab677b98ecff61	UP9000-PCSA00017_00-LBPDLCDSTSCO0010		0	
PCSF00023	EU	Laarg Avatar	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00023_00/yXntmrblQVTzUAOMMNbqSokBqQgjqQSzQItpIUeaQnWojpvHegAcnwOMGyzxJGhY.pkg	MISSING	EP9000-PCSF00023_00-AVAESCAPELAARG00		102400	
PCSF00023	EU	Bakuki Avatar	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00023_00/VSsxPFWyNgvkhBoisiiOyhCoKQbQrvocatfancUbBvAbgZRWIDAADotnTWXWPseG.pkg	MISSING	EP9000-PCSF00023_00-AVAESCAPEBAKUKI0		102400	
PCSF00023	EU	Triangle Avatar	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00023_00/LRQcYLXoPOaZfpLpAbscIlwVKeocfzCvjrvJpLdbQURrmQoFchPXFyNcdYnKDfZZ.pkg	MISSING	EP9000-PCSF00023_00-AVAESCAPETRIANGL		102400	
PCSF00023	EU	Lil Avatar	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00023_00/ZbsXFilZPukxwpghBVsIUYOhcNNCJczvxCvSSbMzmaOmcBwTmuCFfCfdlbxjcwKj.pkg	MISSING	EP9000-PCSF00023_00-AVAESCAPELIL0000		102400	
PCSF00023	EU	Logo Avatar	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00023_00/LsJbkVDVTFHVYqDNUrkpKWBEfQSwnshwRyVnrtTHbkhhqRMdLeDMXbKBArYbAtzf.pkg	MISSING	EP9000-PCSF00023_00-AVAESCAPELOGO000		102400	
PCSB00560	EU	Minecraft Battle Map Pack 1	MISSING	KO5ifR1dQ+e7BpiYGBtDVZuage33Dg8wQAKG+Py3Z7LwogQhVrYLBtx3/3w0ujAa44MbAACNohMg	EP4433-PCSB00560_00-KWP0000000000001		0	
PCSB00560	EU	Minecraft Battle Map Pack 3	MISSING	KO5ifR1dQ+e7BpiYGBtDVZuage33Dg8wQALG+Pxn3/LS/1hN5DET4X1Fiik8YaMxPrgBAJkuEoQA	EP4433-PCSB00560_00-KWP0000000000003		0	
PCSB00560	EU	Minecraft Battle Map Pack 4	MISSING	KO5ifR1dQ+e7BpiYGBtDVZuage33Dg8wQAIm+PynEO0vbhcXWLPp19I/WyxLJo/G+OAGAOOwE1YA	EP4433-PCSB00560_00-KWP0000000000004		0	
NPEB02013	EU	Skin - Summer Memories (Pink)	http://zeus.dl.playstation.net/cdn/EP0177/NPEB02013_00/GroEOnRbjwRltjgjBstGHVHrytcKwxncbTaCwtCUjUFoSuGIACBoMEBugIplSsXP.pkg	MISSING	EP0177-NPEB02013_00-PJDF2SKN007ID820		102400	
NPEB02013	EU	Skin: Miku (Alveare)	http://zeus.dl.playstation.net/cdn/EP0177/NPEB02013_00/XKksGxoejKmCBIyogHODBLrTqYkehGITUpfSJkwvcEwOSUpHhZuIGOnuXIBUeBEf.pkg	MISSING	EP0177-NPEB02013_00-PJDF2DLCSKN48024		250656	
NPEB02013	EU	Skin - Kitty Cape	http://zeus.dl.playstation.net/cdn/EP0177/NPEB02013_00/fEVNTJJDQPNHPRZelrJkBheNhSHPkpCGzQuLavDqHYVDcyxTryaPMsLpoKxAGHuw.pkg	MISSING	EP0177-NPEB02013_00-PJDF2SKN009ID821		147360	
PCSH00074	ASIA	monster-foodstuff set	MISSING	KO5ifR1dQ+d7BBiYGJmCVHuAHGUCst/VJdjVD+4IYwN8/uuJ2Z0gyVBUupn3ycIQhQv9ozE+uAEArFoTtQAA	HP0425-PCSH00074_00-EDSENADDCONT0030		0	
PCSH00127	ASIA	Rescue Bundle DLC	MISSING	KO5ifR1dQ+d7BJgaGJqCVHsATTcyB9nv4gO0IwRhJz7/CXqblexN4mMRCWqpPL12qc9ojA9uAADQhRIN	HP5015-PCSH00127_00-DLCSET0000000001		0	
PCSD00006	UNKNOWN	UNKNOWN TITLE	MISSING	KO5ifR1dQ+d7BFgi6TYwA9nv4xTg4uPsEuwb6uwPtNIUn//SH25mc0jUmBfyoMP5cvVq2dEYH9wAAF/pFB8A	HP9000-PCSD00006_00-LBPDLCDSMUCO0015		0	
PCSD00006	UNKNOWN	UNKNOWN TITLE	MISSING	KO5ifR1dQ+d7BFgi6TYwA9nv4xTg4uPsH+Tp7uxvYGhoiM9/rzyYtx/581/ewfcou6m5IttojA9uAAAPJBNN	HP9000-PCSD00006_00-LBPDLCORIGCO0111		0	
PCSD00006	ASIA	UNKNOWN TITLE	MISSING	KO5ifR1dQ+d7BFgi6TYwA9nv4xTg4uPsH+Tp7uwPch0+/5l9WJdQ3OEcJ1gZsUB1tbPFaIwPbgAA3dATNAAA	HP9000-PCSD00006_00-LBPDLCORIGCO0030		0	
PCSH00298	ASIA	UNKNOWN TITLE	MISSING	KO5ifR1dQ+d7BABdAbbFA2ibpQXIfpdAj3BXxwB/P4idlvj8d2TbR5GFX6bq33blcVuzl/PoaIwPbgAAv+MU8wAA	HP0082-PCSH00298_00-DQHWEAPON0000009		0	
PCSH00298	ASIA	UNKNOWN TITLE	MISSING	KO5ifR1dQ+d7BABdAbbFA2ibpQXIfpdAj3BXxwB/P4iVBvj8J2U9Oy/BbGV+t2t8oN+USRyjMT64AQCQhhJy	HP0082-PCSH00298_00-DQHWEAPON0000010		0	
PCSH00298	ASIA	UNKNOWN TITLE	MISSING	KO5ifR1dQ+d7BABdAbbFA2ibpQXIfpdAj3BXxwB/P4iVRvj8Z7/b/q6axrfp96ZfjbYyOTp/NMYHNwAAgzgU1AAA	HP0082-PCSH00298_00-DQHWEAPON0000012		0	
PCSH00298	ASIA	UNKNOWN TITLE	MISSING	KO5ifR1dQ+d7BABdAbbFA2ibpQXIfpdAj3BXxwB/P4iVJvj8t+pOuo/i48gn7Ptc/oixpFwcjfHBDQCMvRQ8	HP0082-PCSH00298_00-DQHWEAPON0000014		0	
PCSH00176	ASIA	Hand in Hand	http://zeus.dl.playstation.net/cdn/HP0177/PCSH00176_00/HP0177-PCSH00176_00-PJDXDLCXPV832020_bg_1_9d090381d39213b6687d5797b0a9031623fdb492.pkg?country=hk	MISSING	HP0177-PCSH00176_00-PJDXDLCXPV832020		133523056	
