Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	Original Name	File Size	SHA256
NPEF00045	EU	UNKNOWN TITLE	MISSING	EP0102-NPEF00045_00-GSTREETFIF000001		UNKNOWN	0	
NPEF00163	EU	UNKNOWN TITLE	MISSING	EP0102-NPEF00163_00-GRESIDENTE000FRE		UNKNOWN	0	
NPEF00198	EU	UNKNOWN TITLE	MISSING	EP0102-NPEF00198_00-GRESIDENTE000FRE		UNKNOWN	0	
NPEF00199	EU	UNKNOWN TITLE	MISSING	EP0102-NPEF00199_00-GRESIDENTE000FRE		UNKNOWN	0	
NPEF00115	EU	UNKNOWN TITLE	MISSING	EP0776-NPEF00115_00-GLEGACYOFKONLYFR		UNKNOWN	0	
NPEF00137	EU	UNKNOWN TITLE	MISSING	EP4061-NPEF00137_00-GMIRACLEQU000GER		UNKNOWN	0	
BCES00002	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00002_00-GENJI00000010001		UNKNOWN	0	
BCES00068	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00068_00-EGWTDLC03OCEANIA		UNKNOWN	0	
BCES00008	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00008_00-WARHAWKBOOSTER03		UNKNOWN	0	
BCES00068	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00068_00-EGWTDLC01ALEX000		UNKNOWN	0	
BCES00008	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00008_00-BROKENMIRRORRC03		UNKNOWN	0	
BCES00068	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00068_00-EGWTDLC02GLORIA0		UNKNOWN	0	
BCES00068	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00068_00-EGWTDLC04KRATOS0		UNKNOWN	0	
BCES00068	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00068_00-EGWTDLC07TORO000		UNKNOWN	0	
BCES00068	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00068_00-EGWTDLC07TOROAVT		UNKNOWN	0	
BCES00068	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00068_00-EGWTDLC08GOLFSRS		UNKNOWN	0	
BCES00068	EU	UNKNOWN TITLE	MISSING	EP9000-BCES00068_00-EGWTDLC09SACKBOY		UNKNOWN	0	
