Title ID	Region	Name	PKG direct link	Content ID	File Size
CUSA02065	EU	TorqueL	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02065_00/5/f_249705a177a6b4684f5dce9a7ed5c9a18dd6dd8bdf97a57c90af0c257ad19d6b/f/EP0122-CUSA02065_00-0000000000000000.json	EP0122-CUSA02065_00-0000000000000000	409862144
CUSA02080	EU	WRC 5 FIA World Rally Championship	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02080_00/3/f_713c25d2df9046c421dd95092003ddb701062d8dd7ab2ce7cd0af96f5192e581/f/EP4008-CUSA02080_00-WRC5000000000000.json	EP4008-CUSA02080_00-WRC5000000000000	17853251584
CUSA02092	EU	Doom	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02092_00/3/f_c2e64b7bee52b2d2c2c34fbacf03e7013c3efeb006b86544f5cadd4fe643b283/f/EP1003-CUSA02092_00-DOOMEUROPEROWSKU.json	EP1003-CUSA02092_00-DOOMEUROPEROWSKU	47330164736
CUSA02126	EU	FIFA 16	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02126_00/4/f_432a5144a0ed18d94c088bcbf36ffdee9818e787acc44497b2d472b122443b98/f/EP0006-CUSA02126_00-FIFAFOOTBALL2016.json	EP0006-CUSA02126_00-FIFAFOOTBALL2016	22090153984
CUSA02152	EU	Middle-earth™: Shadow of Mordor™ - Game of the Year Edition	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02152_00/2/f_00b373d15dd3bb0dfde334f8ac603f9e6ae9662e4ab0a360cfb657a2b26a56ee/f/EP1018-CUSA02152_00-SHADOWMORDORGOTY.json	EP1018-CUSA02152_00-SHADOWMORDORGOTY	37871878144
CUSA02168	EU	Gran Turismo™SPORT	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02168_00/3/f_25ee58d2cd64d4515cc40e7a0d2dfe673814d38a2504957541faefb69aa6f036/f/EP9001-CUSA02168_00-GTSPORT000000000.json	EP9001-CUSA02168_00-GTSPORT000000000	42994892800
CUSA02179	EU	Color Guardians	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02179_00/4/f_a8a088d9a33ca6ef41ecbc3ad8195ac45b9a8d9ec03a89c0305b248f1404e8eb/f/EP0836-CUSA02179_00-FPLCGMAINGAME101.json	EP0836-CUSA02179_00-FPLCGMAINGAME101	776470528
CUSA02189	EU	Skulls of the Shogun	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02189_00/7/f_1870316abb07522feff98094afdd5ff5e27192fb78016dab75569703479e5376/f/EP0317-CUSA02189_00-SOTSBONIFIED0000.json	EP0317-CUSA02189_00-SOTSBONIFIED0000	522715136
CUSA02230	EU	Dishonored® Definitive Edition	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02230_00/1/f_20948a720d35da35fcb7ee25b5aa168781740e47036e24a8790a34c756a1662b/f/EP1003-CUSA02230_00-DISHONOREDGAMEUK.json	EP1003-CUSA02230_00-DISHONOREDGAMEUK	31214469120
CUSA02231	EU	Dishonored® Definitive Edition	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02231_00/2/f_706cfb0ef5f0de76e216def6be689bc9583670193711ab9a206c584af8502c2f/f/EP1003-CUSA02231_00-DISHONOREDGAMEEU.json	EP1003-CUSA02231_00-DISHONOREDGAMEEU	32849723392
CUSA02311	EU	The Swindle	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02311_00/2/f_348d5d7a417a91705ec8fe252611d1469750a0f2d1b8fad871764aaca0c1778f/f/EP4395-CUSA02311_00-THESWINDLEEURPS4.json	EP4395-CUSA02311_00-THESWINDLEEURPS4	240320512
CUSA02318	EU	Gravity Rush™ Remastered	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02318_00/1/f_8a04bb56ea6c57481849dc3608d359bc6f6d85567d99f622864dc9c3a6f2e163/f/EP9000-CUSA02318_00-GRAVITYRUSHHDUK0.json	EP9000-CUSA02318_00-GRAVITYRUSHHDUK0	9882566656
CUSA02339	EU	[PROTOTYPE®2]	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02339_00/1/f_b7e4c7b0c9bca4cac5b810a4085dd42664cec8b967aa4c2f96a33869e49d4749/f/EP0002-CUSA02339_00-PROTOTYPE0022014.json	EP0002-CUSA02339_00-PROTOTYPE0022014	8593670144
CUSA02343	EU	Uncharted: The Nathan Drake Collection	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02343_00/1/f_3f279ad98ae6fbe5d8614cd0c48d87261d40fa2dc967cc30c75b08e87581f7e5/f/EP9000-CUSA02343_00-UNCHARTEDTRILOGY.json	EP9000-CUSA02343_00-UNCHARTEDTRILOGY	44441206784
CUSA02344	EU	Uncharted™: The Nathan Drake Collection	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02344_00/1/f_7eb894c634e555e17e2ad7d4149668bb26eca52736b09251f766c1c38b8bf62e/f/EP9000-CUSA02344_00-UNCHARTEDTRILOGY.json	EP9000-CUSA02344_00-UNCHARTEDTRILOGY	43542511616
CUSA02348	EU	Nova-111	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02348_00/1/f_78d5f05749e1a4240119ff517d89e508d9f75b6ea044caab50677c3fa0ec014d/f/EP4395-CUSA02348_00-NOVA111PS4EU0000.json	EP4395-CUSA02348_00-NOVA111PS4EU0000	356515840
CUSA02355	EU	Heavy Rain	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02355_00/2/f_294f49193b3a2d2deef9d7bba9aa47e7a4c953826bd8d4ea2ed2505efa6534f0/f/EP9000-CUSA02355_00-HRPS400000000001.json	EP9000-CUSA02355_00-HRPS400000000001	27611627520
CUSA02356	EU	Heavy Rain	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02356_00/4/f_ed8abfb2f9662f72611ee7964d80b0b4037587e6f9872ca70c53aa21d75a1afe/f/EP9000-CUSA02356_00-HRPS400000000001.json	EP9000-CUSA02356_00-HRPS400000000001	34286338048
CUSA02369	EU	HITMAN™	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02369_00/3/f_3ba4f53f7caf7ebf1f7b4e0026738bd910fc6d52bd00a0d448e2b5da16edea15/f/EP0082-CUSA02369_00-HITMANGAME000001.json	EP0082-CUSA02369_00-HITMANGAME000001	6517030912
CUSA02376	EU	Assassin's Creed: Syndicate	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02376_00/4/f_c1a80386dceddfe40b4e87dc91db536bb25b7e69eca786f38398f3358ccaee21/f/EP0001-CUSA02376_00-ACVICTORYGAMEPS4.json	EP0001-CUSA02376_00-ACVICTORYGAMEPS4	42966581248
CUSA02378	EU	Assassin's Creed® Syndicate	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02378_00/3/f_56ac2648e90f20d374dc8d78cb6c8f82493d689837141ddfc8749fe12ef1c43c/f/EP0001-CUSA02378_00-ACVICTORYGAMEPS4.json	EP0001-CUSA02378_00-ACVICTORYGAMEPS4	41271951360
CUSA02387	EU	Battlefield™ 1	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02387_00/4/f_7af80c6bfd9358d8fd71cefd56ebd0bc3d4d38cc489fdf4b17223528b30c05aa/f/EP0006-CUSA02387_00-BATTLEFIELD01000.json	EP0006-CUSA02387_00-BATTLEFIELD01000	45499351040
CUSA02393	EU	Hyper Void	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02393_00/3/f_9c4a3f5f66dd12df44bbeb3b2cdbb5c7fcacb4a04863c10d00da42492e24adb6/f/EP8900-CUSA02393_00-FULLDATAGAME0001.json	EP8900-CUSA02393_00-FULLDATAGAME0001	675086336
CUSA02396	EU	Frozen Free Fall: Snowball Fight	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02396_00/3/f_aee726cc5e246eb0cc93913a18a27a5a1faeb315880f131a65c2a4c35bba97bc/f/EP1006-CUSA02396_00-FFFSNOWBALLFIGHT.json	EP1006-CUSA02396_00-FFFSNOWBALLFIGHT	381616128
CUSA02491	EU	Mass Effect: Andromeda	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02491_00/3/f_5aaa0cf5f5a2bc19aff5b035b28fc637495d962f23d0a3095912dcb776c80511/f/EP0006-CUSA02491_00-MASSEFFECT400000.json	EP0006-CUSA02491_00-MASSEFFECT400000	45373849600
CUSA02502	EU	Ether One	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02502_00/7/f_79b192dd5428429369daa25c2336d7152c6e7c322de177f4313986360af8d423/f/EP0947-CUSA02502_00-ETHERONEGAMEPS4E.json	EP0947-CUSA02502_00-ETHERONEGAMEPS4E	3588489216
CUSA02514	EU	Xeodrifter™	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02514_00/3/f_b19b29aaa59565221a0978f9fbac0ef7cbaa57c4958e5b34a9f631ca8ef51ccc/f/EP8909-CUSA02514_00-XEODRIFTERPS4EUX.json	EP8909-CUSA02514_00-XEODRIFTERPS4EUX	55967744
CUSA02532	EU	Unravel	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02532_00/2/f_90a56eab0bd04bfec249985de5e6787bdd083a5ceb3ad2282397d4f41f3becfb/f/EP0006-CUSA02532_00-UNRAVELUNRAVEL09.json	EP0006-CUSA02532_00-UNRAVELUNRAVEL09	3047489536
CUSA02586	EU	Rebel Galaxy	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02586_00/6/f_edddec6f556cd3ef81523c0464287d4cc32514828de2fe425c6508b4668974c5/f/EP0222-CUSA02586_00-REBELGALAXY00000.json	EP0222-CUSA02586_00-REBELGALAXY00000	2828795904
CUSA02589	EU	Pumped BMX +	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02589_00/2/f_e424ad8d3456e5167f790adf38f11ece4898adbf797eb44b517685de5fdb179e/f/EP4395-CUSA02589_00-PUMPED2SCEEPS400.json	EP4395-CUSA02589_00-PUMPED2SCEEPS400	218365952
CUSA02591	EU	Kung Fu Panda: Showdown of Legendary Legends	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02591_00/3/f_d73ef94dffb879a8b806959f03813adfa680b01cdb5d799cc78ce0c128363ffe/f/EP4406-CUSA02591_00-KUNGFUPANDATOA00.json	EP4406-CUSA02591_00-KUNGFUPANDATOA00	4791664640
CUSA02600	EU	Shütshimi	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02600_00/5/f_1c310e4927fa4e82ff7089e67ad72ed6ea095c49fdbab22c97914f47403a4ffc/f/EP2148-CUSA02600_00-SHUTSHIMI0000000.json	EP2148-CUSA02600_00-SHUTSHIMI0000000	154664960
CUSA02607	EU	SWORD ART ONLINE Re: Hollow Fragment	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02607_00/2/f_14bf6ceb7c50ad308bd6c254072f4baae55cc3ef37cd6743d5588415c4038869/f/EP0700-CUSA02607_00-SWORDARTREHF000E.json	EP0700-CUSA02607_00-SWORDARTREHF000E	9823518720
CUSA02624	EU	Call of Duty: Black Ops III	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02624_00/6/f_a74fcc715041643bc4c4e77faefd33a76421320c82e7a6d00261eaafbb41536d/f/EP0002-CUSA02624_00-BLACKOPS3GAME000.json	EP0002-CUSA02624_00-BLACKOPS3GAME000	43576459264
CUSA02625	EU	Call of Duty®: Black Ops III	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02625_00/2/f_327205bdcb61595916b946c878895fdda6a162528ed357152e543f8994eb661a/f/EP0002-CUSA02625_00-BLACKOPS3GAME000.json	EP0002-CUSA02625_00-BLACKOPS3GAME000	43625807872
