Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPJI00081	JP	PSP	ポケットムームー	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00081_00/sbAOGsBJUYaYozfpVpTHRIsOLxdSYvnAcfUbydGbjUsaFvtDJwBHOmZPrRfTvgVJtQvaBOsGhkOFrZFLWajHvTSyKxaUTjwfWIdaf.pkg	JP9000-NPJI00081_00-0000000000000001				82663616	
NPJI00023	JP	PSP	DEPTH®(PS3®・PSP®用)	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00023_00/1w3q41868hbeVp1uD0YSwJumNFSFpvpFEwsGhju1jcdGkjP68ePYe6Vdgi7V4D7Peo5vka0HgJErkD8y94ujjut12nD1Ruot1N3MX.pkg	JP9000-NPJI00023_00-0000000000000001				176353520	
NPJJ00790	JP	PSP	ハイドライドスペシャル	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00790_00/JP0747-NPJJ00790_00-0000000000000001_bg_1_832767bbc299ec5241742018a5bcce97db2553eb.pkg	JP0747-NPJJ00790_00-0000000000000001				6216416	
NPJI00020	JP	PSP	ジェットモト	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00020_00/oOFbLtrEDPx7aP5hEoVj81IUS7BnH09jWono9sG9e3ch7Xkf60FDCumaQKROJEXGyG2V9NS6quqm8S2k6WcgwtabXsu7WBCMfkdhj.pkg	JP9000-NPJI00020_00-0000000000000001				79040816	
NPJJ00030	JP	PSP	ふしぎ刑事®(PS3®・PSP®用)	http://zeus.dl.playstation.net/cdn/JP0102/NPJJ00030_00/Efn7Ynk76sIfrro4iTyLKGeIS2berml1T25uRl08hogxRlIsdCo595c09on8vwYh6FB8DoM5wPdydjHEHvX4Ildcqh796FPGWRd76.pkg	JP0102-NPJJ00030_00-0000000000000001				35446576	
NPJI00082	JP	PSP	ビブリボン	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00082_00/XpQoQrVnvliCPXeAiJOjtDsBmYdIgKNpzgOlHOlnRTcqhbBoUXsxldsowjSpzJCsUVGGaWASZxjzToxoUJpncyeQJgniFihmpHAAV.pkg	JP9000-NPJI00082_00-0000000000000001				26415136	
NPJJ30009	JP	PC Engine	パワースポーツ(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0555/NPJJ30009_00/ogXECClW7ofkNswqc0vEbr8opDD5WDM1AsyhawOFXtuxI90Smsci2xn6bShQud66BvoSvgbGWjiSNHdURBTFSkHjn52nC6GC7UVCq.pkg	JP0555-NPJJ30009_00-POWERSPORTS0JH11				9617424	
NPJJ30006	JP	PC Engine	スーパースターソルジャー(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0555/NPJJ30006_00/LSttCvC4gCJyJv6HxBVnpr5cJtyg5mbIgTesihyR0pBAN75UNcUcKjQW7RwfMq9xwHONdTJ4tfolvTwopK33riovHJJTKFttRfUMi.pkg	JP0555-NPJJ30006_00-SUPERSTARSOLJH06				7464320	
NPJI00008	JP	PSP	激走トマランナー	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00008_00/5CRSxs9iRgpiQG9fY1LFxMNt69Grd4RAaHgNLdM63TBsBrD8gCIsF71jBC9j1YHwcMQfTKYbKw13whJlRSWU2mvW41n4nAu6extQ1.pkg	JP9000-NPJI00008_00-0000000000000001				324434048	
NPJJ30026	JP	PC Engine	ビクトリーラン(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0555/NPJJ30026_00/mTLuexYjpfETiU3yYOBicQlgujIBUVGgVhfovG57UXhBLSwbtCew0mPiMnhIcgowcLTfALP1QAxGtqw8I4RRtlAh7iqx3tHikjP2k.pkg	JP0555-NPJJ30026_00-VICTORYRUN00JH21				7295280	
