Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	Original Name	File Size	SHA256
CUSA00634	EU	STAR WARS™ Battlefront™ Rogue One: X-Wing VR Mission 	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA00634_00/48/f_f82f7b788433989e8ad313e027f6c9e902964d23421beb78541a9e98614d4904/f/EP0006-CUSA00634_00-BATTLEFRONTPSVR0.json	EP0006-CUSA00634_00-BATTLEFRONTPSVR0		STAR WARS Battlefront Rogue One: X-Wing VR Mission	1918238720	
CUSA13946	EU	BAMF DLC PACK	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA13946_00/6/f_2e1628e31bac34b85780949a16fe70ad720c6fcb6a46feee3794adfb6785233b/f/EP1001-CUSA13946_00-000BLVRDLCPACK01.json	EP1001-CUSA13946_00-000BLVRDLCPACK01		BAMF DLC PACK	13502185472	
CUSA06711	EU	Bonus Content 1	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA06711_00/10/f_6660ccbeee67964007ba8da50910193441f498fcafc65a46aaef99b31b2b3e0d/f/EP2889-CUSA06711_00-VRKARTSBONUS0001.json	EP2889-CUSA06711_00-VRKARTSBONUS0001		Bonus Content 1	5373952	
CUSA11043	EU	MusicPack1	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA11043_00/38/f_a067eb5ff3fb29b01592544ad6d8640be956806907957896fb1fbae524ec0e0f/f/EP1463-CUSA11043_00-EPICMUSICPACK000.json	EP1463-CUSA11043_00-EPICMUSICPACK000		MusicPack1	33554432	
CUSA16349	EU	BLINDSPOT_CHAPTER3	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA16349_00/4/f_ca143074d89823417ef9545ac9b19d7ffd3ac3ce2f42a5ff869146d6c303d76f/f/EP3303-CUSA16349_00-BLINDSPOTEU00001.json	EP3303-CUSA16349_00-BLINDSPOTEU00001		BLINDSPOT_CHAPTER3	1048576	
CUSA17616	EU	"""Avalanche"" - Bex"	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA17616_00/31/f_a98e66c6d4e6fe58a60ce3ddd2b05dde088b7830769920ca73414124f5cc83b2/f/EP8802-CUSA17616_00-HMXAUDICASONG025.json	EP8802-CUSA17616_00-HMXAUDICASONG025		"Avalanche" - Bex	11010048	
CUSA17616	EU	"""Stook (Audica Mix)"" - Simaniac"	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA17616_00/25/f_1159046fdfc4eaa513ca626e000547e78f4adcb3c948285b11e1d23c09df87b0/f/EP8802-CUSA17616_00-HMXAUDICASONG022.json	EP8802-CUSA17616_00-HMXAUDICASONG022		"Stook (Audica Mix)" - Simaniac	10813440	
CUSA17616	EU	"""U R Prey"" - M-Cue"	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA17616_00/23/f_392b5e5132dbfc0060eeffb207e4cc42d3d8f625da41a69d1c1d979d26b9016f/f/EP8802-CUSA17616_00-HMXAUDICASONG020.json	EP8802-CUSA17616_00-HMXAUDICASONG020		"U R Prey" - M-Cue	9043968	
CUSA17616	EU	"""Methane Breather"" - asms"	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA17616_00/24/f_3b9a2dc1d1a825ae04bb385f2e2e48433420ee327cd6da9f0ad71eb9bf4599d0/f/EP8802-CUSA17616_00-HMXAUDICASONG021.json	EP8802-CUSA17616_00-HMXAUDICASONG021		"Methane Breather" - asms	9109504	
CUSA17616	EU	"""Girls Be Dancing"" - Party Bois"	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA17616_00/30/f_3069d93c77fca4cf43160eef371f12a66a933b21aed60f4ab725edf3273f2d2e/f/EP8802-CUSA17616_00-HMXAUDICASONG026.json	EP8802-CUSA17616_00-HMXAUDICASONG026		"Girls Be Dancing" - Party Bois	10420224	
