Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPJB00658	JP	Teslagrad	http://zeus.dl.playstation.net/cdn/JP0082/NPJB00658_00/JP0082-NPJB00658_00-TESLAGRAD0000001_bg_1_c59dd9536215af974cb7ae075ddedeb7ea53c2c8.pkg	MISSING	JP0082-NPJB00658_00-TESLAGRAD0000001			875164048	
NPJA00027	JP	無限回廊 -序曲-	http://zeus.dl.playstation.net/cdn/JP9000/NPJA00027_00/Nj1s5BGNoBBvBpehAXc77XKGSq5FEbvmmjQOpsNYGN4ngRyA0Lh4K2LQ0MBC7TcFLg379S40NJKf9AD7mVGP2atIiLeCWE6M6235H.pkg	MISSING	JP9000-NPJA00027_00-ECHOCHROME000000			107627552	
NPJA00072	JP	PlayMemories Studio™	http://ares.dl.playstation.net/cdn/JA0001/NPJA00072_00/nonjxIVhaUAaZLYiPvuTqCytewcocLImaPHqoyOCveitbADhUSXnLCBIoHfteWqlNTIdQAuvGmBXypWeZnxcWxfbMouJCTjBBMHGK.pkg	MISSING	JA0001-NPJA00072_00-HDDBOOTDEMO00001			1001512784	
NPJB00241	JP	ギルティギア イグゼクス アクセントコア プラス	http://zeus.dl.playstation.net/cdn/JP0036/NPJB00241_00/xSrveHXmfPJFygaNQvzyvLHFeHYNYbgohjHWHFaEMcWLTeOiCpsMeiIiTPCEcYUBFNwCPKIbrOWuWuUKstVGgXTLMkpbjVxdtJvbD.pkg	MISSING	JP0036-NPJB00241_00-GGXXACP000000001			1113458544	
NPJB90615	JP	ティアーズ・トゥ・ティアラII 覇王の末裔 体験版	http://ares.dl.playstation.net/cdn/JP0761/NPJB90615_00/botfDGwVszKpvkULOYqgsTpgKDofNeijiSKENeDvKGFyVkwIWJCWFlVgxupRZOcuplvfDuIrSvQTrWSXoWRsCgHeFHrkGMuYFZFWm.pkg	MISSING	JP0761-NPJB90615_00-TEARSTOTIARAIITV			1017143472	
NPHB00575	ASIA	FINAL FANTASY X/X-2 HD Remaster full game	MISSING	d9da445bbd840adce10b6e52bc5a30c5	HP0082-NPHB00575_00-FFX0FFX20PKG0PS3			24538009776	
NPHB00605	ASIA	Atelier Escha & Logy ~Alchemists of the Dusk Sky~ PlayStation3 the Best full game	MISSING	3b31930ce36e0ea64e59b0baf05dd5ec	HP0106-NPHB00605_00-APP0000000000000			5981303536	
NPHB00681	ASIA	Shining Resonance	MISSING	21b1e0da3a83c776629d6446b89f59c8	HP0177-NPHB00681_00-SHININGRES000100			7580538304	
NPHA80146	ASIA	God of War: Origins Collection Chains of Olympus full game	MISSING	648b411deafb495de144dbcaa78b931f	HP9000-NPHA80146_00-GOWCHAINSOFOLYMP			7901173456	
NPHA80147	ASIA	God of War: Origins Collection Ghost of Sparta full game	MISSING	73e29fbae03605ed2251aff95a4a5ebf	HP9000-NPHA80147_00-GOWGHOSTOFSPARTA			9766856064	
NPHA80264	ASIA	Lost in the rain full game	MISSING	062ad24da068d002b3155efc651d03f5	HP9000-NPHA80264_00-RAIN000000000001			2086076832	
NPJB00668	JP	テイルズ オブ ゼスティリア Welcome Price!! （PS3版）	MISSING	409a617f61164839c6867f1ec97b4bbc	JP0700-NPJB00668_00-TOZESTIRIAHDD001			8926291296	
NPHB00629	ASIA	STEINS;GATE: My Darling’s Embrace (KOR)	http://zeus.dl.playstation.net/cdn/KP5014/NPHB00629_00/UmxBCfVANkcBjmrbQBrhVJHYcHUdsJgBJvYPIbJeMnKkWUYsZJMdtSUsxUJHecTsRtXtRAYnWIaOfzgZzUumzRznDJPfBhuYEVXaZ.pkg	MISSING	KP5014-NPHB00629_00-STEINSGATEHDKO01			6531748112	
NPJJ00675	JP	ＰＡＣ－ＭＡＮ ＷＯＲＬＤ 20ｔｈ ＡＮＮＩＶＥＲＳＡＲＹ	http://zeus.dl.playstation.net/cdn/JP0700/NPJJ00675_00/pvfeHISTTASjMEkeOfWurslSPCXjVNOIsZAhhjwMhLiRYLoWCBNSgLEhQYmaAKsBCSUrnEWTSWaXyElLeUOiINzYqzmMIaIcZwTAD.pkg	abff1383189499cee2cc7890a34b3cce	JP0700-NPJJ00675_00-0000000000000001			236796672	
NPEB02471	EU	Shakedown: Hawaii	http://zeus.dl.playstation.net/cdn/EP2077/NPEB02471_00/EP2077-NPEB02471_00-GSHAKEDOWN000001_bg_1_e12223fec0be3364d5e3c2fb0770ad555b84f3ef.pkg	459baaf58397c764d8dbc9fb93c7df51	EP2077-NPEB02471_00-GSHAKEDOWN000001			96920784	
NPUA70117	US	LittleBigPlanet 2 BETA	http://zeus.dl.playstation.net/cdn/UP9000/NPUA70117_00/EcmfugQQHkR5nU1ccS00vH63PkdJaKylGhtFpBWmGtVw1WlHc8wjLo0OtWwbFpK8OIMeFpAGXf1qYX2cdwxfFbO3r5iDwpFGYPm4E.pkg	2347054c6a4fcc51a1470a00fd9efbe9	UP9000-NPUA70117_00-GBETALITTL000001			2235726096	
BCET70035	EU	LittleBigPlanet 2 BETA	http://zeus.dl.playstation.net/cdn/EP9000/BCET70035_00/MXjemOOydwtpUvLUVaebOsDxrscvlJorEORPSrHOmRzPnoNRqdfwbaODqDPwwlby.pkg	73f51106230504b8d1f27c9cc2363a69	EP9000-BCET70035_00-LBP2BETA00000002			184307136	
NPUA81174	US	LittleBigPlanet 3 Digital Version BETA	http://zeus.dl.playstation.net/cdn/UP9000/NPUA81174_00/bICGdkbSsFrnNJOrbheMZuqwcYfrkcDLnYruROCpfWrnlfJJJaZTaqOFkKDGKVwAHBXZCYlqLBRhUycBlMvmtSDHDWqnafcRLIOpO.pkg	2bf142cf980d9b8dd8b0bf4367ad5fa7	UP9000-NPUA81174_00-GBETALITTL000001			5152015584	
NPJB00135	JP	BIOHAZARD CODE: Veronica 完全版	http://zeus.dl.playstation.net/cdn/JP0102/NPJB00135_00/rGWdzKpiJSPiGVSmUKAKXbxaEXpMyYjMFoucpnVOuhGCPxDojtXYLINSFTTOzldVCFgmGSIBMpqExdFWNXSzkAKRZossbfHIUrPXz.pkg	ba3e3bd8da9b30c06073e457389a7a55	JP0102-NPJB00135_00-CONTENT0000DLPKG			2557227904	
NPJB00084	JP	biohazard 4	http://zeus.dl.playstation.net/cdn/JP0102/NPJB00084_00/KUELtvdACosMgJyzUOukGGTYSUMkLXhEpFovhZNJkLyweMaYwLIvZomEgMzZieUQcqvEhbxeIrhfMMCbgywcVJYWlWSRCvWaLMGbM.pkg	b92e970337287c9ab0ed2843c4bc4aa2	JP0102-NPJB00084_00-CONTENT0000DLPKG			3493827120	
NPJB00574	JP	2014 FIFA WORLD CUP BRAZIL™	http://zeus.dl.playstation.net/cdn/JP0006/NPJB00574_00/SuJakBeFIzifLkTjkWgGnTUpfzSVcvBxwvBuyFIccNWAbtnnUWNkIgxBXGOrrYlUleOrfxVPwaDpWcLNlkpUyhmTtudaJsZsFBLTH.pkg	67659cf51a296785bebce32759f43aa8	JP0006-NPJB00574_00-FIFAWORLDCUP2014			6030545616	
NPJB00833	JP	FIFA 18 Legacy Edition	http://zeus.dl.playstation.net/cdn/JP0006/NPJB00833_00/JP0006-NPJB00833_00-FIFA18PSNDIGITAL_bg_1_db4a8ebc8d7170ac978de78d0e4606a08198a458.pkg	3604a424c2bafaadaebf9d4ad728d97a	JP0006-NPJB00833_00-FIFA18PSNDIGITAL			5445877888	
NPJA00113	JP	グランツーリスモ６	http://zeus.dl.playstation.net/cdn/JP9001/NPJA00113_00/seuWusWpnmxLvspdCtlPYbDjjfOBYCaMfTpwTdfSMKRkqcSxvniDjzkvXRYlinwNkMGHqlRJTJprDpjxigDQVRhBCnWTTAFoLxzui.pkg	46a294e2d3342c9e7391bd8c5eda8e48	JP9001-NPJA00113_00-0000000000000000			15389775392	
NPUB31426	US	EA SPORTS™ 2014 FIFA World Cup Brazil™	http://zeus.dl.playstation.net/cdn/UP0006/NPUB31426_00/RsfDIucsMqfOeJvgxMsVhPalnzpMcsSheigNqOUWzHDMXflAMsuLNvQQBcjxcXey.pkg	344f86782f81cc7508065e494ba07dd2	UP0006-NPUB31426_00-FIFAWORLDCUP2014			5953628896	
NPUI94448	US	Um Jammer Lammy	http://zeus.dl.playstation.net/cdn/UP9000/NPUI94448_00/yBFTVDBQNR8p7JkAv7e2xXKDg25fe2lMGE6RPdFRFUeFR8UJiLW3KY30uPMsmPQKM7AuvBIObqbAHYx1vPChXWF8cDbN4uuC0OnSS.pkg	a861701932178881ce7a5f050cc18ab3	UP9000-NPUI94448_00-0000000000000001			536460048	
NPEB02188	EU	Pier Solar and the Great Architects	http://zeus.dl.playstation.net/cdn/EP2122/NPEB02188_00/RWMtmlJBCrOUSxNLpiWkpWfvMxSrBwTUjEtTiCecPirJipmTlQhDwrKviSnAYSHm.pkg	MISSING	EP2122-NPEB02188_00-HDDBOOT000000001			1478524256	
NPEB02174	EU	Retro City Rampage™ DX	http://zeus.dl.playstation.net/cdn/EP2077/NPEB02174_00/uApqKcLOXoxCjuvhjFQsixIfGmigxCCdShktRGJbwGsNXeFShLEqYOZuSvqoNYRJlHZtrbqXHfxiOeOHGuQxsVjtkqiGVbYyPimGK.pkg	MISSING	EP2077-NPEB02174_00-RETROCITYRAMPAGE			19676256	
NPUB90927	US	Need for Speed™ Most Wanted Demo	http://ares.dl.playstation.net/cdn/UP0006/NPUB90927_00/kHCqkAnBUKAaZQoOAuiPGgrVYuCntzyXvOHQSZRldsxCMxoPGRercQVHLZCfEmNI.pkg	MISSING	UP0006-NPUB90927_00-NFSMW000DEMO00NA			2027167696	
NPUB90825	US	FIFA Soccer 13 Demo	http://ares.dl.playstation.net/cdn/UP0006/NPUB90825_00/JorIhMZapxoslttTTvjsnKaOZbwVvGMytqtCimXTDvnzamZyXewAuhLcxEQsazGeaNPWqvJlQdcWFENlCzyVpRSBHqUFYjRiMiDaE.pkg	MISSING	UP0006-NPUB90825_00-FIFA13DEMO000000			1548790960	
NPUB90801	US	NHL® 13 Demo	http://ares.dl.playstation.net/cdn/UP0006/NPUB90801_00/iFIkViXExfInrgUEoOaUrvaudSHhuhulpInLTiQOyQFsbibqBbkAmRpxVWgbebFFrBgVzeFGfaQuCYcQoRitXSzefHpVEBNeVAivU.pkg	MISSING	UP0006-NPUB90801_00-NHL13DEMO0000000			1531464032	
NPUB90560	US	Major League Baseball® 2K11 Demo	http://ares.dl.playstation.net/cdn/UP8801/NPUB90560_00/wyUHtGEcFXSDbqKYwxkGYYEbPZdNLpmQhzyFeevIfKVaIdyNOCxQMvkhUUVJtYWrlhQyGaiHlGgooiwzLtgwguUdfoBSlZlbwruae.pkg	MISSING	UP8801-NPUB90560_00-MLB2K11FULLDEMO0			928971536	
NPUB90078	US	Conflict: Denied Ops™ Demo	http://zeus.dl.playstation.net/cdn/UP0776/NPUB90078_00/RkKCyi3yFReDp3rr1vN28CNjEXKyL4MOsLHTwvYe5skNhkPHa967j4lsQb8ABd5vS3OjsvDeu6uCUmSSeLpQsGR8rCPeP5fwEEMUa.pkg	MISSING	UP0776-NPUB90078_00-CONFLICTDOUSDEMO			1036028928	
