Title ID	Region	Name	JSON direct link	RAP	Content ID	Last Modification Date	Download .RAP file
CUSA01799	US	Deus Ex: Mankind Divided - Classic Pack	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA01799_00/187/f_ffece293a3c8ad75acffd22e474b16a39620f7fe5dd069b2e3164490cc0dabde/f/UP0082-CUSA01799_00-DXMDCLASSIC00001.json	MISSING	UP0082-CUSA01799_00-DXMDCLASSIC00001	2018-01-10 17:50:37	
CUSA01799	US	Deus Ex: Mankind Divided - Enforcer Pack	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA01799_00/186/f_387e15e266159e044c72d8e41cb50862b27edbd7fd1c4a74bb1a804523388301/f/UP0082-CUSA01799_00-DXMDENFORCER0001.json	MISSING	UP0082-CUSA01799_00-DXMDENFORCER0001	2018-01-10 17:50:42	
CUSA01799	US	Deus Ex: Mankind Divided - Intruder Pack	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA01799_00/189/f_0e217b35ec7b55d3382145bbfbf872533367bea8cf6475ef1c81d2785da32ac9/f/UP0082-CUSA01799_00-DXMDINTRUDER0001.json	MISSING	UP0082-CUSA01799_00-DXMDINTRUDER0001	2018-01-10 17:50:42	
CUSA01799	US	Deus Ex: Mankind Divided - Desperate Measures	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA01799_00/190/f_39264ed99e829562249ee75335277b9b4a338586294456e867e20b7b8bdb5b31/f/UP0082-CUSA01799_00-DLCPREORDER00001.json	MISSING	UP0082-CUSA01799_00-DLCPREORDER00001	2018-01-10 17:54:48	
CUSA01967	US	Horizon Zero Dawn: The Frozen Wilds	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA01967_00/36/f_685476fcea7d993a03cca133d06a128cafc537df01c8d1cb760f342f5f5c6b35/f/UP9000-CUSA01967_00-HRZ000000000DLC1.json	MISSING	UP9000-CUSA01967_00-HRZ000000000DLC1	2017-12-22 23:10:18	
CUSA02290	US	Call of Duty: Black Ops III - Eclipse DLC	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA02290_00/24/f_ea448c23758b3cbd47e3b0acf6b3682de4cf04e429222a343a5ba483673b980f/f/UP0002-CUSA02290_00-BLACKOPS3MAPPAK2.json	MISSING	UP0002-CUSA02290_00-BLACKOPS3MAPPAK2	2017-12-22 23:10:18	
CUSA05855	US	Assassin's Creed Origins: The Secrets of the First Pyramids	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA05855_00/150/f_89e98664890dd6b07d3f9f42eb7748398abdbf80ec3e6b7eefbac0ff6cdb17cf/f/UP0001-CUSA05855_00-ULCGAMEPLAY00001.pkg	MISSING	UP0001-CUSA05855_00-ULCGAMEPLAY00001	2017-12-22 23:10:18	
CUSA05855	US	Assassin's Creed Origins: Ambush at Sea	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA05855_00/159/f_5091fb854f90ec531fa24a71144d7d8b68233aa46fe775b71590d2e0ca0ce41f/f/UP0001-CUSA05855_00-ULCGAMEPLAY00002.pkg	MISSING	UP0001-CUSA05855_00-ULCGAMEPLAY00002	2017-12-22 23:10:18	
CUSA05855	US	Assassin's Creed Origins Desert Cobra Pack	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA05855_00/173/f_116fa5fb282238b6306c8ca87152fae58e2ef4c36a56c109443d68bea408280b/f/UP0001-CUSA05855_00-DLCITEMPACK00003.pkg	MISSING	UP0001-CUSA05855_00-DLCITEMPACK00003	2017-12-22 23:10:18	
CUSA05855	US	Assassin's Creed Origins Calamity Blade	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA05855_00/151/f_02331c4fe182cc6448b92e74cc497fe425bd8011435c6cc64dc109583052fb13/f/UP0001-CUSA05855_00-ULCWEAPON0000013.pkg	MISSING	UP0001-CUSA05855_00-ULCWEAPON0000013	2017-12-22 23:10:18	
CUSA06211	EU	Hatsune Miku: Project DIVA Future Tone Future Sound	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA06211_00/4/f_d72e1a4327c02a8246ce22945757af2ea51a466ca592f12fe49cb09698eb3f68/f/EP0177-CUSA06211_00-DIVAFT39FUTURE00.json	MISSING	EP0177-CUSA06211_00-DIVAFT39FUTURE00	2017-12-22 23:25:28	
CUSA06211	EU	Hatsune Miku: Project DIVA Future Tone Colorful Tone	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA06211_00/2/f_5a5d5fcf37fad39d91c34b895c6784539d2d36d07748c1bb9e016f518fa5879b/f/EP0177-CUSA06211_00-DIVAFT39TONE0000.json	MISSING	EP0177-CUSA06211_00-DIVAFT39TONE0000	2017-12-22 23:25:54	
CUSA05748	EU	Cabin Attendant Style 39	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA05748_00/16/f_0f59eeb128ae7c75eda35445f6be94e7617fb9d2c943bc07d6bbfccdaeb7e8e2/f/EP0177-CUSA05748_00-PJDXDLCMIK326019.json	MISSING	EP0177-CUSA05748_00-PJDXDLCMIK326019	2018-01-29 22:04:10	
CUSA06638	EU	Persona 5 Japanese Audio Track	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA06638_00/34/f_d1bb5a2ee6cce75c48cc9f80ec9477bbb0984e9dfecd653da13fb5dcef89e860/f/EP4062-CUSA06638_00-ADDCONTENT000022.json	MISSING	EP4062-CUSA06638_00-ADDCONTENT000022	2018-01-29 22:04:13	
CUSA05748	EU	Cabin Attendant Style A	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA05748_00/8/f_4fea553af988d258a5dedf48d97bd838587c3e076472d290659abe6d38e9de4a/f/EP0177-CUSA05748_00-PJDXDLCMIK325018.json	MISSING	EP0177-CUSA05748_00-PJDXDLCMIK325018	2018-01-29 22:04:52	
CUSA00736	JP	Battle of Jakku	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA00736_00/22/f_d57b05d0ba34048ab1ac9c7f8710630e7a6713977260363946e3c0ed823f932f/f/JP0006-CUSA00736_00-XPACK00000000000.json	MISSING	JP0006-CUSA00736_00-XPACK00000000000	2018-08-08 07:24:16	
CUSA11967	US	PixelJunk™ Monsters 2 Danganronpa Pack	MISSING	MISSING	UP4774-CUSA11967_00-PJM2DANGANRONPA1	2018-11-06 22:08:59	
CUSA11967	US	PixelJunk™ Monsters 2 Encore Pack	MISSING	MISSING	UP4774-CUSA11967_00-PJM2ENCOREPACK01	2018-11-06 22:08:59	
CUSA01357	JP	文化祭で何するの	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA01357_00/2/f_f5d42ee9acceec97174542a6d75da874e1fadbe592c63d82e37c64803ff02058/f/JP0741-CUSA01357_00-ANOOREADDCONTE01.json	MISSING	JP0741-CUSA01357_00-ANOOREADDCONTE01	2018-11-06 22:08:59	
CUSA03475	JP	追加キャラクター「ユウキ」「レン」	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA03475_00/3/f_e25740760bcf9aa6bf034be0cec21058f6a8b2f6d12ddfab704ec979bd7bd63a/f/JP0177-CUSA03475_00-DFCIGNITION00001.json	MISSING	JP0177-CUSA03475_00-DFCIGNITION00001	2018-11-06 22:08:59	
CUSA05640	JP	Assassin's Creed Origins Japanese Audio	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA05640_00/122/f_b2b3f6cc05dcf8a793f8256d298003fe1e92b280cf858161045bc70fa38e408c/f/JP0001-CUSA05640_00-ACEAUDIOPACKJAJP.json	MISSING	JP0001-CUSA05640_00-ACEAUDIOPACKJAJP	2018-11-06 22:08:59	
CUSA07429	JP	楽曲「Best Friends (OP ver.)」	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA07429_00/56/f_7ab83dc42142c9fbcce023efd47683ab524e5b301e3bd8eacda2d3564303b070/f/JP0005-CUSA07429_00-ADDCONTDLCD00048.json	MISSING	JP0005-PCSG01030_00-ADDCONTDLCD00048	2018-11-06 22:08:59	
CUSA07429	JP	楽曲：P5A「BREAK IN TO BREAK OUT (OP ver.)」	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA07429_00/33/f_9b0cdc5b7764ac0a6005f57f6bc4f2790a7de8eef19b4f118f1c8821ad4b44c0/f/JP0005-CUSA07429_00-ADDCONTDLCD00053.json	MISSING	JP0005-PCSG01030_00-ADDCONTDLCD00053	2018-11-06 22:08:59	
CUSA08309	JP	うたわれるもの 散りゆく者への子守唄 DLCユニットデータ 『クオン』	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA07274_00/88/f_ba9f883b7410c65aa3805e777b899d45b362842fa904d44fbee47957d8dd1d1e/f/JP0507-CUSA07274_00-FATEEXLINKDLC035.json	MISSING	JP0761-CUSA08309_00-UTAWARETIRIDLC01	2018-11-06 22:08:59	
CUSA08309	JP	DLCユニット 『ネコネ』	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA08309_00/27/f_03e5e659a7ced74a06069a3108cdf0d6428a0d076c9ec46db0b4e867e69c1d39/f/JP0761-CUSA08309_00-UTAWARETIRIDLC02.json	MISSING	JP0761-PCSG01079_00-UTAWARETIRIDLC02	2018-11-06 22:08:59	
CUSA08309	JP	うたわれるもの 散りゆく者への子守唄 DLCユニットデータ 『ルルティエ』	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA08309_00/29/f_88223e295b223205868b0f5fc09f0ff61bdfa540a18134de7c4571e8f621ed32/f/JP0761-CUSA08309_00-UTAWARETIRIDLC03.json	MISSING	JP0761-PCSG01079_00-UTAWARETIRIDLC03	2018-11-06 22:08:59	
CUSA08309	JP	DLCユニット『ウルゥル・サラァナ』	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA08309_00/42/f_fce9d058392c2b2fdd5a4b8fc307ad97727175d226d1494bf1d4740f17326880/f/JP0761-CUSA08309_00-UTAWARETIRIDLC13.json	MISSING	JP0761-PCSG01079_00-UTAWARETIRIDLC13	2018-11-06 22:08:59	
CUSA08340	JP	HITMAN Japanese Audio(For Complete Edition)	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA08340_00/12/f_526685be851380cfb9f02f2c8df909c9a1c1e1b15e8a0192832496940afbd34d/f/JP0082-CUSA08340_00-0000000000LANGJP.json	MISSING	JP0082-CUSA08340_00-0000000000LANGJP	2018-11-06 22:08:59	
CUSA09163	JP	追加衣装：ホワイトフェアリー	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09163_00/2/f_4e35a5ab4ce46ad042e7de302ddc442028742aee2f3de44333dac31229b4c953/f/JP0031-CUSA09163_00-ADDCONTENTDLC001.json	MISSING	JP0031-CUSA09163_00-ADDCONTENTDLC001 	2018-11-06 22:08:59	
CUSA09163	JP	追加衣装：ホワイトリリィ	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09163_00/18/f_58678a1a8ec36b896e647ce47cdb86a0e9d4eb90a8c31d0e5107b34af31ebb98/f/JP0031-CUSA09163_00-ADDCONTENTDLC002.json	MISSING	JP0031-CUSA09163_00-ADDCONTENTDLC002 	2018-11-06 22:08:59	
CUSA09163	JP	追加衣装：ファウンキャット	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09163_00/4/f_009e59d42dfd7c96e2de251ff0e624d9616aba7a307dc982781903b4244a04c8/f/JP0031-CUSA09163_00-ADDCONTENTDLC003.json 	MISSING	JP0031-CUSA09163_00-ADDCONTENTDLC003 	2018-11-06 22:08:59	
CUSA09163	JP	追加衣装：黒牡丹	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09163_00/14/f_1d1a017b4e6fecd3f02c7149e3194b93461953cd02bcc5cf9faecec515fdcfe1/f/JP0031-CUSA09163_00-ADDCONTENTDLC004.json	MISSING	JP0031-CUSA09163_00-ADDCONTENTDLC004        	2018-11-06 22:08:59	
